uuid,name,price_to_book,peg,pe,country,sector,ebitda_margin,gross_margin,operating_margin,year_pct_change,net_debt,revenue,ebitda,growth_level,growth_trend,ebitda_level,ebitda_trend,capex,total_asset
38b2366c-8415-43d5-a509-b70d4cb8fad8,Universal Corp,0.9152941,3.04,16.064896,United States,Consumer Defensive,0.097349994,0.18702999,0.095970005,-0.07775861,1029724040.0,2911505920.0,283430016.0,0.06955690350778876,-1.3654357424466423,0.06536149868127306,-0.6658680355406312,48019000.0,3066703000.0
d6482a5c-1b80-43fc-a064-d5bafd6ac7e2,Resideo Technologies Inc,1.7387825,,,United States,Industrials,0.11269,0.29367,0.07897,0.3512869,3076000000.0,7614000128.0,858000000.0,0.08314642742710676,-6.233450580535427,0.09562075262840786,-5.926273283834837,116000000.0,8302500000.0
d81c689b-6afc-488d-bb11-f99eabcefd06,St. Joe Company,4.829217,-23.47,33.331608,United States,Real Estate,0.37492,0.43102002,0.18351,0.38829434,425688000.0,518092992.0,194244000.0,0.051455991167447035,-0.9052055492876858,0.16077451274372867,-0.49587008044753833,25804000.0,1529622250.0
ca8fe84f-4a30-41ca-b23a-71d0bffb882f,Viper Energy Inc - Class A,1.8663323,0.64,,United States,Energy,0.95184,1.0,0.55876,0.18653107,1575000064.0,1578000000.0,1502000000.0,0.33041674868535764,-14.866972029075303,0.4895405405405405,-39.924460355246346,2424000000.0,10596250000.0
445d8a1c-e5da-454e-864d-a4c473909f51,City Holding Company,2.1863787,1.91,13.570012,United States,Financial Services,0.0,0.0,0.50945,-0.010915637,225102016.0,319663008.0,,0.03996439228129567,-0.5220985497509469,-0.014319879758225684,-3.090976598666386,2924000.0,6652685750.0
74b9b740-b581-4f39-aaff-35f36eace969,Beam Therapeutics Inc,2.288519,,,United States,Healthcare,-2.12944,-1.46899,-3.37813,0.5819881,-960829968.0,164011008.0,-349251008.0,1.2000535281337572,-0.37525442876574117,,,14113000.0,1416053250.0
6b837077-859e-49b7-ace2-8136a7c3dfbe,Signet Jewelers Ltd,1.5192735,2.4,10.443503,Bermuda,Consumer Cyclical,0.090299994,0.39547002,0.15083,0.21409166,342499968.0,6813599744.0,615299968.0,-0.003187962254526888,-1.1914216902760715,,,153500000.0,5539400000.0
2fcb63ea-52b6-4383-a58e-d7ea5da3a716,Endo International plc,,,,,,,,,,,,,,,,,,
8e0a8dda-f4e1-403b-aadd-f48957163467,Genesis Energy L.P.,-6.3264513,3.05,,United States,Energy,0.32571,0.3639,0.17156,0.059947252,3171966128.0,1678658944.0,546748992.0,-0.01831549691299672,-1.3164028821857516,-0.04471333794159338,-0.8508072040756411,131379000.0,4851418750.0
6d19b5ad-ef22-4b09-9676-2771e1dacaf3,Addus HomeCare Corporation,1.5175442,0.87,17.09225,United States,Healthcare,0.11038,0.32454,0.0937,-0.18102437,35679000.0,1448433024.0,159872000.0,0.2320554582153631,1.052548450379854,0.1606517612525198,1.0714716018161743,7719000.0,1419190250.0
692a3a2d-afa5-45d0-9123-0235abad53d5,Suburban Propane Partners LP,2.1427815,1.21,10.321428,United States,Utilities,0.20425,0.27448,0.28648,0.037344456,,1393117952.0,284548000.0,-0.06203725604640753,0.28885401682167444,0.006610254949732941,-2.2713182720862806,73343000.0,2358322750.0
a4c78ccc-eef4-4f5a-8a58-9184cb95cb4c,Trimas Corporation,2.037758,1.94,109.171425,United States,Consumer Cyclical,0.092180006,0.21495001,0.05503,0.47288918,-855419968.0,661539968.0,60980000.0,0.023652504755865555,-1.3958500991202833,-0.006396781043725597,-1.0509958408739988,40630000.0,1665372500.0
90556340-6183-4014-b75d-2b7374e34eea,Necessity Retail REIT Inc (The) - Class A,,,,,,,,,,,,,,,,,,
a16d821f-5838-4399-846a-2f1a3aeeb81a,Mr. Cooper Group Inc,,,,,,,,,,,,,,,,,,
ba65411f-3aa2-47bd-a50b-a26fddea941d,Bloom Energy Corp - Class A,79.7995,1.47,,United States,Industrials,0.094560005,0.3009,0.09612001,13.349974,461384960.0,2449027072.0,231590000.0,0.37326441660515,10.636437066391618,0.2585180350108305,4.695759765539852,68682000.0,3557515250.0
c367231a-ff17-4fc4-86b1-25922acd9f0a,First Commonwealth Financial Corp,1.196347,1.46,12.06579,United States,Financial Services,0.0,0.0,0.41845,0.123134375,-147265984.0,495720000.0,,0.09367464020764538,-0.2418884193980209,-0.0009572288744485458,-2.515005283846872,15425000.0,12288282750.0
500fbb1f-121f-44a2-9525-084760fc6a7b,Century Communities Inc,0.5537026,,11.067567,United States,Real Estate,0.05957,0.17856,0.042630002,-0.1252259,1460566032.0,4004257024.0,238547008.0,-0.06376844808707383,-0.3038153009758089,,,32157000.0,4560786250.0
d8924d7f-1d25-4c83-92ad-f447090f0b68,Nextcure Inc,0.92796946,,,United States,Healthcare,0.0,0.0,0.0,0.80370367,-25864000.0,,-54285000.0,,,,,-0.0,51155500.0
69887474-1f46-47aa-b88c-be7f121d60e2,Seritage Growth Properties - Class A,0.4282801,,,United States,Real Estate,-0.97783,0.20535,-2.6517098,-0.16896552,4164000.0,18086000.0,-17685000.0,-0.04906435417617527,-1.0409812066659623,-0.9592374749124696,-0.767413773789955,,544449000.0
